query,ground_truth_answer,traditional_faithfulness,traditional_answer_relevancy,traditional_context_recall,traditional_context_precision,traditional_entity_recall,modified_faithfulness,modified_answer_relevancy,modified_context_recall,modified_context_precision,modified_entity_recall
When did the tradition of people carrying the Olympic torch before the Olympic games begin?,1936 Summer Olympics.,0.578012228,0.887132883,1,0.033333333,0,0.562440515,0.822821617,1,0.033333333,0
How many days did people carry the Olympic torch before the 2008 Summer Olympics?,129 days,0.102277651,0.279647827,0.333333333,0.032258065,0,0.105752453,0.151577428,0.333333333,0.166666667,0
What was the theme for the torch relay?,"one world, one dream",0.536012053,0.760057926,0,0,0,0.838545144,0.65009141,0,0,1
What did the organizers of the torch relay call it?,Journey of Harmony,0.710682034,0.797665119,0,0,0,0.612811625,0.773902416,0,0,0
What was the 2008 Olympic slogan?,"one world, one dream",0.486064494,0.708866119,0.5,0.066666667,1,0.214434385,0.265691906,0.5,0.066666667,1
Where were the details of the torch relay made known?,"Beijing, China.",0.655024409,0.712221682,0,0,0.5,0.670654237,0.896685123,0,0,0
What was the torch relay referred to as by organizers?,Journey of Harmony,0.660728812,0.75311923,0,0,0,0.597783327,0.728050828,0,0,0
How many miles was the Olympic torch relayed?,"85,000 mi",0.281957209,0.515241921,1,0.033333333,1,0.423472136,0.475404531,0,0,0
What day was the Olympic torch lit for the 2008 games?,Mar-24,0.766510427,0.854083419,0.5,0.034482759,1,0.749784708,0.854317069,0.5,0.125,1
Where did the Olympics originate?,"Olympia, Greece",0.321171284,0.817941606,0,0,0,0.321171284,0.817941606,0,0,0
When did the Olympic torch reach Beijing?,Mar-31,0.154704332,0.181852639,1,0.064516129,1,0.182015628,0.181852639,0.5,0.125,1
How many continents did the torch visit after Beijing?,six,0.552764058,0.750198722,0,0,1,0.153400451,0.186420038,1,0.125,0
The torch was on what road to symbolize historic links between China and the world?,Silk Road,0.294777572,0.493800879,1,0.037037037,0,0.648672342,0.874091029,1,0.037037037,0
Where was the Olympic torch lit?,"Olympia, Greece",0.392882466,0.473766625,1,0.03030303,1,0.426329881,0.739940166,0,0,1
What date was the Olympic torch lit?,Mar-24,0.229830593,0.399971366,1,0.03030303,1,0.456813365,0.319841772,0,0,0
What is the name of the stadium in Greece were the torch was taken to?,Panathinaiko Stadium,0.587828517,0.830032229,1,0.041666667,0,0.293350279,0.528749466,1,0.041666667,0
What date did the Olympic torch arrive at its destination in China?,March 31.,0.163652167,0.273590893,1,0.074074074,0,0.252310574,0.298762292,0.5,0.111111111,1
What mountain was the torch taken up?,Mount Everest,0.306660265,0.479726136,0,0,1,0.306660265,0.479726136,0,0,1
How many people protested on the San Francisco torch route?,hundreds,0.547172308,0.68733573,1,0.066666667,1,0.734197438,0.452281654,0,0,0
How many people protested at the Pyongyang torch route?,effectively none,0.549079955,0.751298547,1,0.047619048,0,0.019752115,0.167144239,1,0.047619048,0
What were some groups doing along the torch route that was not supportive of the Olympics?,protesting,0.120116524,0.134164751,0,0,0,0.120116524,0.134164751,0,0,0
Who put out the torch along the route for protection?,Chinese security officials,0.184000432,0.15826638,0,0,0,0.498421818,0.28397584,0,0,1
Who condemned the various attacks on the torch relay route?,the Chinese government,0.31140089,0.269757301,0,0,0,0.63342154,0.81660676,0,0,0
"In San Francisco, who had a larger presence than the protesters? ",supporters,0.590284169,0.885974705,1,0.055555556,0,0.704740465,0.885974705,1,0.166666667,0
Who overwhelmed the protesters in Japan?,counter-protesters,0.631189704,0.845219553,1,0.055555556,0,0.619759023,0.823073983,1,0.055555556,0
Who amassed in large scale against protesters?,counter-protesters,0.298095644,0.277592421,0,0,0,0.21050027,0.192692518,0,0,0
What was said to have occurred between some supporters and protesters?,skirmishes,0.678324819,0.638734579,0,0,0,0.594152927,0.735472918,0,0,0
What three areas of the globe were protests reported as not big?,"Latin America, Africa, and Western Asia",0.616537273,0.537104487,0,0,0.666666667,0.55664587,0.726416826,0,0,0.666666667
Who is the president of the International Olympic Committee?,Jacques Rogge,0.282674879,0.298737645,1,0.05,0,0.406894326,0.26870349,0,0,0
Athletes wearing what kind of flag at any Olympic venue faced the possibility of expulsion from the Olympics?,Tibetan,0.650092125,0.792734921,0.5,0.083333333,1,0.650092125,0.792734921,0.5,0.083333333,1
"Because of the relay issues, IOC decided to no longer have what in subsequent Olympics?",global relays,0.404417992,0.395513773,0.5,0.111111111,0,0.67554009,0.728741109,0.5,0.111111111,0
"What is the name of the man who said the protesting of the torch relay as a ""crisis""?",Jacques Rogge,0.209780157,0.216784984,0,0,0,0.466879606,0.121262535,0,0,0
What could happen to Olympic sports participants who showed a Tibetan flag at events?,could be expelled,0.651777327,0.825070143,1,0.181818182,0,0.783264041,0.830836833,1,0.333333333,0
