question,faithfulness,answer_relevancy,context_recall,context_precision,entity_recall
3 اپریل کو اولمپک مشعل کس شہر میں تھی؟,0.8620380163192749,0.9219571352005005,0.0,0.0,0.0
چینی حکومت نے بائیکاٹ کی صورتحال کو کم کرنے کے لئے کس طریقہ کار کا استعمال کیا؟,0.8891600966453552,0.8675000667572021,0.0,0.0,0.0
2008 کے اولمپکس کے لئے پہلے مشعل بردار کا نام کیا ہے؟,0.8408780097961426,0.8611350059509277,0.0,0.0,0.0
کون سی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نہیں تھی؟,0.8063520193099976,0.9408581256866455,0.0,0.0,0.0
قازقستان میں روٹ کے لئے کلومیٹر میں فاصلہ کیا تھا؟,0.8554668426513672,0.9350975751876831,0.0,0.0,0.16666666666666666
مشعل پہلی بار کس ملک میں پہنچی؟,0.8555254936218262,0.9039696455001831,0.0,0.0,0.14285714285714285
کس نے کہا کہ مشعل ریلے ختم کیا جائے؟,0.8113627433776855,0.8866143226623535,0.0,0.0,0.0
ٹارچ ٹیم کو لے جانے والے طیارے نے کتنی مختلف جگہوں کا دورہ کیا؟,0.8306835889816284,0.8781458139419556,0.0,0.0,0.1111111111111111
ٹارچ ٹیم نے کس قسم کے طیارے میں سفر کیا؟,0.8229612708091736,0.8736258745193481,0.0,0.0,0.0
کچھ مظاہرین نے کیا جلا دیا؟,0.8634259104728699,0.8905624747276306,0.0,0.0,0.0
یہ کب فیصلہ کیا گیا تھا کہ ایئر چائنا سرکاری مشعل بردار ہوگا؟,0.7634540796279907,0.7534416317939758,0.0,0.0,0.0
2 اپریل کو مشعل نے کس کنواری سائٹ کا دورہ کیا؟,0.8251884579658508,0.8935345411300659,0.0,0.0,0.16666666666666666
مشعل نے کتنے براعظموں کا دورہ کیا؟,0.8326001167297363,0.919154703617096,0.0,0.0,0.0
کہاں مخالف مظاہرین چینی جھنڈوں کے ساتھ ایک Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا؟,0.853402853012085,0.9251068830490112,0.0,0.0,0.0
کس اشاعت میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں؟,0.8294669985771179,0.9277647733688354,0.0,0.0,0.0
اولمپکس کی ابتدا کہاں سے ہوئی؟,0.823060929775238,0.9168988466262817,0.0,0.0,0.0
حفاظت کے لیے راستے میں مشعل کس نے بجھا دی؟,0.7927914261817932,0.8729867935180664,0.0,0.0,0.0
جمہوریہ چین کا خیال تھا کہ غلط فیصلہ تائیوان کو کس دو علاقوں کے ساتھ ایک ہی سطح پر رکھ سکتا ہے۔,0.8611325025558472,0.9633065462112427,0.0,0.0,0.1111111111111111
جاپان میں مظاہرین کو کس نے دبایا؟,0.8279423713684082,0.9072798490524292,0.0,0.0,0.0
پیانگ یانگ مشعل کے راستے پر کتنے لوگوں نے احتجاج کیا؟,0.8453185558319092,0.9348270893096924,0.0,0.0,0.0
جنہوں نے مظاہرین کے خلاف بڑے پیمانے پر جمع کیا؟,0.7857574224472046,0.9231697916984558,0.0,0.0,0.0
Carrefour کا سب سے بڑا حصص دار کون تھا؟,0.7759357690811157,0.8935098052024841,0.0,0.0,0.0
کیا ہوا کی رفتار مشعل شعلہ اب بھی میل فی گھنٹہ میں روشن رہے گا؟,0.7898162007331848,0.8540993928909302,0.0,0.0,0.1
مشعل کس دھات سے بنائی گئی ہے؟,0.8164980411529541,0.8559319972991943,0.0,0.0,0.1111111111111111
ہوائی جہاز کو کس رنگ سے پینٹ کیا گیا تھا؟,0.7845298051834106,0.86492919921875,0.0,0.0,0.0
اولمپک مشعل کی شعلہ روشن کرنے کے لیے کیا استعمال کیا جاتا ہے؟,0.869499146938324,0.9012473821640015,0.0,0.0,0.5555555555555556
اصل اولمپک مقابلوں کا مقام کہاں ہے؟,0.8057103157043457,0.915366530418396,0.0,0.0,0.0
طیارے نے کتنے دن سفر کیا؟,0.812538206577301,0.9025557041168213,0.0,0.0,0.1111111111111111
ہو چی منہ سٹی اور ہانگ کانگ کے درمیان کیا اسٹاپ ہونا تھا؟,0.8526616096496582,0.9390590190887451,0.0,0.0,0.0
چارٹرڈ طیارہ کس رنگ کا تھا؟,0.8015064001083374,0.882588267326355,0.0,0.0,0.0
کس کمپنی کا بائیکاٹ کرنے کے لیے کارروائی کی گئی؟,0.832561194896698,0.8868057131767273,0.0,0.0,0.0
کس جگہ پر پولیس کو مظاہرین کے ساتھ پرتشدد مسائل کا سامنا کرنا پڑا؟,0.8196197748184204,0.9202260375022888,0.0,0.0,0.0
الماتی میں مشعل کو سب سے پہلے کس کو دیا گیا تھا؟,0.8253644704818726,0.9282394051551819,0.0,0.0,0.0
اولمپک شعلہ کہاں روشن کیا گیا؟,0.8851500153541565,0.9105259776115417,0.0,0.0,0.0
ٹارچ ریلے کو منتظمین نے کیا کہا تھا؟,0.8324040174484253,0.8853639960289001,0.0,0.0,0.0
مشعل ریلے کی تفصیلات کہاں سے معلوم کی گئیں؟,0.8713538646697998,0.8712974786758423,0.0,0.0,0.0
مشعل کس پہاڑ پر لے جایا گیا تھا؟,0.8387970924377441,0.9072426557540894,0.0,0.0,0.0
اولمپک مشعل کہاں روشن کی گئی تھی؟,0.8839300870895386,0.9204157590866089,0.0,0.0,0.0
اولمپک مشعل کا وزن کتنا ہوتا ہے؟,0.8754283785820007,0.9515875577926636,0.0,0.0,0.5
مشعل کے لیے کس ایندھن کا استعمال کیا جاتا ہے؟,0.8808587789535522,0.9337003231048584,0.0,0.0,0.1
چینی لوگوں سے کہا گیا تھا کہ وہ وطن پرستی کو منظم طریقے سے ظاہر کریں اور کس طریقے سے؟,0.8326792120933533,0.9234715104103088,0.0,0.0,0.0
کون سے کارکنوں کو گرفتار کیا گیا ہے؟,0.8385887145996094,0.9121379256248474,0.0,0.0,0.0
اولمپک مشعل بیجنگ کب پہنچی؟,0.8282103538513184,0.8539221882820129,0.0,0.0,0.0
بیجنگ کے بعد مشعل نے کتنے براعظموں کا دورہ کیا؟,0.849351704120636,0.926974892616272,0.0,0.0,0.0
کچھ حامیوں اور مظاہرین کے درمیان کیا ہوا تھا؟,0.8569207787513733,0.8933714628219604,0.0,0.0,0.0
ٹارچ استنبول میں کب تھا؟,0.8337199687957764,0.9082335233688354,0.0,0.0,0.0
مشعل روٹ چھ کیا احاطہ کرتا ہے؟,0.789252758026123,0.8438785076141357,0.0,0.0,0.0
ٹارچ ٹیم کے ساتھ طیارے نے کتنے دن سفر کیا؟,0.8441190719604492,0.9353221654891968,0.0,0.0,0.1111111111111111
نورسلطان نزاربیف کون ہے؟,0.8417569398880005,0.9091737270355225,0.0,0.0,0.16666666666666666
الماتی میں روٹ میڈیو اسٹیڈیم سے کہاں گیا؟,0.8011714220046997,0.8637088537216187,0.0,0.0,0.16666666666666666
سان فرانسسکو میں، مظاہرین سے زیادہ کس کی موجودگی تھی؟,0.8697655200958252,0.9312616586685181,0.0,0.0,0.0
سان فرانسسکو مشعل روٹ پر کتنے لوگوں نے احتجاج کیا؟,0.8372993469238281,0.8801144361495972,0.0,0.0,0.0
پہلے کھیلوں سے پہلے مشعل بردار کو کیا تمغہ ملا؟,0.8600523471832275,0.8848565220832825,0.0,0.0,0.0
2008 کے کھیلوں کے لئے اولمپک مشعل کس دن روشن کی گئی تھی؟,0.8761343359947205,0.9394382238388062,0.0,0.0,0.0
اولمپک مشعل کس چیز سے بنائی جاتی ہے؟,0.8863708972930908,0.9404681921005249,0.0,0.0,0.6666666666666666
اولمپک مشعل کس تاریخ میں چین میں اپنی منزل پر پہنچی؟,0.823686957359314,0.8881725668907166,0.0,0.0,0.0
چینی اولمپک مشعل کا ڈیزائن نام کیا تھا؟,0.8886964321136475,0.9173235893249512,0.0,0.0,0.5555555555555556
کن واقعات کے لئے مشعل ریلے کا انعقاد نہ کرنے کا فیصلہ کیا گیا تھا؟,0.8925585746765137,0.8808485269546509,0.0,0.0,0.0
اولمپک مشعل پر استعمال ہونے والا چینی ڈیزائن کیا ہے؟,0.895865797996521,0.9231829643249512,0.0,0.0,0.5555555555555556
فی گھنٹہ انچ میں کتنی بارش کے تحت مشعل روشن رہ سکتی ہے؟,0.774266242980957,0.8287842869758606,0.0,0.0,0.1111111111111111
