question,faithfulness,answer_relevancy,context_recall,context_precision,entity_recall
3 اپریل کو اولمپک مشعل کس شہر میں تھی؟,0.5564936399459839,0.6505076289176941,0.0,0.0,0.0
چینی حکومت نے بائیکاٹ کی صورتحال کو کم کرنے کے لئے کس طریقہ کار کا استعمال کیا؟,0.7268344163894653,0.8261686563491821,0.0,0.0,0.0
2008 کے اولمپکس کے لئے پہلے مشعل بردار کا نام کیا ہے؟,0.35476943850517273,0.4833916425704956,0.0,0.0,0.0
کون سی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نہیں تھی؟,0.38744157552719116,0.682212233543396,0.0,0.0,0.0
قازقستان میں روٹ کے لئے کلومیٹر میں فاصلہ کیا تھا؟,0.3959885239601135,0.6553446054458618,0.0,0.0,0.16666666666666666
مشعل پہلی بار کس ملک میں پہنچی؟,0.6162183880805969,0.6849293112754822,0.0,0.0,0.14285714285714285
کس نے کہا کہ مشعل ریلے ختم کیا جائے؟,0.4566807150840759,0.770992636680603,0.0,0.0,0.0
ٹارچ ٹیم کو لے جانے والے طیارے نے کتنی مختلف جگہوں کا دورہ کیا؟,0.6216739416122437,0.6713836193084717,0.0,0.0,0.1111111111111111
ٹارچ ٹیم نے کس قسم کے طیارے میں سفر کیا؟,0.4669916331768036,0.7777591943740845,0.0,0.0,0.0
کچھ مظاہرین نے کیا جلا دیا؟,0.5743346214294434,0.6927439570426941,0.0,0.0,0.0
یہ کب فیصلہ کیا گیا تھا کہ ایئر چائنا سرکاری مشعل بردار ہوگا؟,0.11388763785362244,0.11039842665195465,0.0,0.0,0.0
2 اپریل کو مشعل نے کس کنواری سائٹ کا دورہ کیا؟,0.3476359248161316,0.587553858757019,0.0,0.0,0.16666666666666666
مشعل نے کتنے براعظموں کا دورہ کیا؟,0.48178356885910034,0.8039337992668152,0.0,0.0,0.0
کہاں مخالف مظاہرین چینی جھنڈوں کے ساتھ ایک Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا؟,0.5065132975578308,0.6369240283966064,0.0,0.0,0.0
کس اشاعت میں چینی لوگوں سے مطالبہ کیا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں؟,0.7414933443069458,0.8860135078430176,0.0,0.0,0.0
اولمپکس کی ابتدا کہاں سے ہوئی؟,0.6133490204811096,0.6838897466659546,0.0,0.0,0.0
حفاظت کے لیے راستے میں مشعل کس نے بجھا دی؟,0.21096216142177582,0.6787123680114746,0.0,0.0,0.0
