question,faithfulness,answer_relevancy,context_recall,context_precision,entity_recall
When did the tradition of people carrying the Olympic torch before the Olympic games begin?,0.6309928894042969,0.7439606189727783,1.0,0.1,0.2
How many days did people carry the Olympic torch before the 2008 Summer Olympics?,0.6675017476081848,0.7998272776603699,0.0,0.0,0.26666666666666666
What was the theme for the torch relay?,0.584185004234314,0.808170735836029,0.0,0.0,0.26666666666666666
What did the organizers of the torch relay call it?,0.41637158393859863,0.626840353012085,0.0,0.0,0.06666666666666667
What was the 2008 Olympic slogan?,0.5572863817214966,0.7542617321014404,1.0,0.125,0.3333333333333333
Where were the details of the torch relay made known?,0.7141154408454895,0.6683075428009033,0.0,0.0,0.06666666666666667
What was the torch relay referred to as by organizers?,0.42445680499076843,0.6714322566986084,0.0,0.0,0.13333333333333333
How many miles was the Olympic torch relayed?,0.6555824875831604,0.8034795522689819,1.0,0.058823529411764705,0.4666666666666667
What day was the Olympic torch lit for the 2008 games?,0.5582467317581177,0.7968869209289551,0.5,0.07142857142857142,0.3333333333333333
Where did the Olympics originate?,0.5650770664215088,0.76592618227005,0.0,0.0,0.2
When did the Olympic torch reach Beijing?,0.6454819440841675,0.7802152633666992,0.5,0.0625,0.6
How many continents did the torch visit after Beijing?,0.25721532106399536,0.5104441046714783,0.0,0.0,0.13333333333333333
The torch was on what road to symbolize historic links between China and the world?,0.6865907311439514,0.8459874391555786,1.0,0.0625,0.3333333333333333
Where was the Olympic torch lit?,0.5219436883926392,0.6462498903274536,0.0,0.0,0.13333333333333333
What date was the Olympic torch lit?,0.5579836368560791,0.7565157413482666,1.0,0.047619047619047616,0.26666666666666666
What is the name of the stadium in Greece were the torch was taken to?,0.48594555258750916,0.8359382748603821,1.0,0.06666666666666667,0.2
What date did the Olympic torch arrive at its destination in China?,0.7088012099266052,0.7679958939552307,0.0,0.0,0.6666666666666666
What mountain was the torch taken up?,0.42296886444091797,0.7360168695449829,0.0,0.0,0.06666666666666667
How many people protested on the San Francisco torch route?,0.44199851155281067,0.5928888320922852,1.0,0.05555555555555555,0.5555555555555556
How many people protested at the Pyongyang torch route?,0.4477109909057617,0.6930795311927795,0.0,0.0,0.0
What were some groups doing along the torch route that was not supportive of the Olympics?,0.683479905128479,0.6188880205154419,0.0,0.0,0.2222222222222222
Who put out the torch along the route for protection?,0.48178696632385254,0.6490504741668701,0.0,0.0,0.0
Who condemned the various attacks on the torch relay route?,0.5783020853996277,0.7942568063735962,0.0,0.0,0.07692307692307693
"In San Francisco, who had a larger presence than the protesters? ",0.45442429184913635,0.7864983677864075,1.0,0.047619047619047616,0.3076923076923077
Who overwhelmed the protesters in Japan?,0.5054757595062256,0.7951537370681763,1.0,0.09090909090909091,0.23076923076923078
Who amassed in large scale against protesters?,0.5584825277328491,0.7858576774597168,0.0,0.0,0.07692307692307693
What was said to have occurred between some supporters and protesters?,0.701515793800354,0.6088491678237915,0.0,0.0,0.07692307692307693
What three areas of the globe were protests reported as not big?,0.346967488527298,0.4333610534667969,0.0,0.0,0.23076923076923078
Who is the president of the International Olympic Committee?,0.5520437955856323,0.7897422313690186,1.0,0.2,0.5714285714285714
Athletes wearing what kind of flag at any Olympic venue faced the possibility of expulsion from the Olympics?,0.7804934978485107,0.7768385410308838,0.5,0.2,0.5714285714285714
"Because of the relay issues, IOC decided to no longer have what in subsequent Olympics?",0.604134202003479,0.7978253364562988,0.5,0.5,0.14285714285714285
"What is the name of the man who said the protesting of the torch relay as a ""crisis""?",0.20745253562927246,0.33672812581062317,0.0,0.0,0.5714285714285714
What could happen to Olympic sports participants who showed a Tibetan flag at events?,0.7356791496276855,0.8231506943702698,1.0,0.4,0.5714285714285714
Who asked that the torch relay be ended?,0.5139842629432678,0.8021915555000305,0.0,0.0,0.0
What was halted with the torch relay for future Olympics?,0.6164618134498596,0.7716954946517944,0.0,0.0,0.14285714285714285
The international torch relay was canceled for what event in June 2008?,0.6068015694618225,0.8664367198944092,0.0,0.0,0.0
For what events was the torch relay decided to not be held?,0.4077557921409607,0.7094101905822754,0.0,0.0,0.0
What is the Chinese design used on the Olympic Torch?,0.6055036783218384,0.7566865682601929,0.5,0.1,0.23076923076923078
What is the Olympic Torch made from?,0.41785675287246704,0.7729677557945251,0.0,0.0,0.15384615384615385
How much does the Olympic Torch weigh?,0.40960565209388733,0.7405130863189697,0.0,0.0,0.3076923076923077
What is used to light the flame on the Olympic Torch?,0.6685650944709778,0.7289738059043884,0.0,0.0,0.23076923076923078
What was the design name of the Chinese Olympic Torch?,0.6003552079200745,0.7387164235115051,0.0,0.0,0.23076923076923078
What metal is the torch constructed from?,0.5133751630783081,0.7086771726608276,0.0,0.0,0.3076923076923077
What wind speed will the torch flame still stay lit in MPH?,0.39905625581741333,0.8530161380767822,0.0,0.0,0.23076923076923078
How much rainfall in inches per hour can the torch stay lit under?,0.4876704216003418,0.8226038217544556,0.0,0.0,0.15384615384615385
What fuel is used for the torch?,0.5686923265457153,0.6678895950317383,0.0,0.0,0.15384615384615385
"When it was necessary for the Olympic Torch to be on an airplane, which one was used?",0.8303722143173218,0.7516586184501648,0.0,0.0,0.46153846153846156
